,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
5599,2012-01-28 00:00:00,Milwaukee,Valparaiso Crusaders,U.S. Cellular Arena,52,55,Valparaiso Crusaders,Milwaukee,REG,U.S. Cellular Arena,,,,,,,,,,,,
4982,2011-11-17 00:00:00,Tulsa,Western Kentucky Hilltoppers,,65,49,Tulsa,Western Kentucky Hilltoppers,REG,,,,,,,,,,,,,
7382,2012-01-07 00:00:00,Stetson Hatters,Jacksonville,Edmunds Center,73,61,Stetson Hatters,Jacksonville,REG,Edmunds Center,,,,,,,,,,,,
9293,2011-11-18 00:00:00,BYU Cougars,Longwood,Marriott Center,92,60,BYU Cougars,Longwood,REG,Marriott Center,,,,,,,,,,,,
9088,2011-11-22 00:00:00,BYU Cougars,Prairie View,Marriott Center,90,51,BYU Cougars,Prairie View,REG,Marriott Center,,,,,,,,,,,,
7680,2011-11-18 00:00:00,Michigan State Spartans,Texas Southern,Breslin Events Center,76,41,Michigan State Spartans,Texas Southern,REG,Breslin Events Center,,,,,,,,,,,,
5711,2011-12-21 00:00:00,Middle Tennessee,Ole Miss Rebels,Murphy Athletic Center,68,56,Middle Tennessee,Ole Miss Rebels,REG,Murphy Athletic Center,,,,,,,,,,,,
8782,2011-11-30 00:00:00,BYU Cougars,Northern Arizona,,87,52,BYU Cougars,Northern Arizona,REG,,,,,,,,,,,,,
9488,2011-12-07 00:00:00,BYU Cougars,Weber State,Marriott Center,94,66,BYU Cougars,Weber State,REG,Marriott Center,,,,,,,,,,,,
8418,2012-02-25 00:00:00,Toledo Rockets,Western Michigan,John F. Savage Hall,83,74,Toledo Rockets,Western Michigan,REG,John F. Savage Hall,,,,,,,,,,,,
9413,2011-12-30 00:00:00,Coppin State Eagles,Nebraska-Omaha,,93,83,Coppin State Eagles,Nebraska-Omaha,REG,,,,,,,,,,,,,
