,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
9012,2011-12-22 00:00:00,BYU Cougars,UC-Santa Barbara,Marriott Center,89,75,BYU Cougars,UC-Santa Barbara,REG,Marriott Center,,,,,,,,,,,,
7993,2011-12-02 00:00:00,Niagara,Fairfield Stags,Gallagher Center,75,79,Fairfield Stags,Niagara,REG,Gallagher Center,,,,,,,,,,,,
8342,2011-12-29 00:00:00,Saint Mary's (CA),BYU Cougars,McKeon Pavilion,98,82,Saint Mary's (CA),BYU Cougars,REG,McKeon Pavilion,,,,,,,,,,,,
8898,2011-11-27 00:00:00,South Carolina Upstate Spartans,Victory,G.B. Hodge Center,88,54,South Carolina Upstate Spartans,Victory,REG,G.B. Hodge Center,,,,,,,,,,,,
7393,2011-11-18 00:00:00,Tulane Green Wave,Maryland-Eastern Shore,Avron B. Fogelman Arena,73,52,Tulane Green Wave,Maryland-Eastern Shore,REG,Avron B. Fogelman Arena,,,,,,,,,,,,
8178,2011-11-09 00:00:00,Texas A&M Aggies,Liberty,Reed Arena,81,59,Texas A&M Aggies,Liberty,REG,Reed Arena,,,,,,,,,,,,
9607,2011-11-17 00:00:00,UNLV Rebels,Canisius,Thomas & Mack Center,95,70,UNLV Rebels,Canisius,REG,Thomas & Mack Center,,,,,,,,,,,,
8300,2011-12-22 00:00:00,Hofstra Pride,Colgate,Mack Sports Complex,82,59,Hofstra Pride,Colgate,REG,Mack Sports Complex,,,,,,,,,,,,
7805,2011-11-13 00:00:00,Washington Huskies,Florida Atlantic,Bank of America Arena,77,71,Washington Huskies,Florida Atlantic,REG,Bank of America Arena,,,,,,,,,,,,
7109,2011-11-19 00:00:00,South Carolina Upstate Spartans,Toledo,UTPA Fieldhouse,70,75,Toledo,South Carolina Upstate Spartans,REG,UTPA Fieldhouse,,,,,,,,,,,,
6723,2011-12-23 00:00:00,Ohio,North Carolina A&T Aggies,Convocation Center,82,66,Ohio,North Carolina A&T Aggies,REG,Convocation Center,,,,,,,,,,,,
7977,2012-02-04 00:00:00,South Dakota Coyotes,Missouri-Kansas City,DakotaDome,79,63,South Dakota Coyotes,Missouri-Kansas City,REG,DakotaDome,,,,,,,,,,,,
8674,2012-02-11 00:00:00,BYU Cougars,Pepperdine,Marriott Center,86,48,BYU Cougars,Pepperdine,REG,Marriott Center,,,,,,,,,,,,
8622,2012-01-19 00:00:00,NJIT Highlanders,Houston Baptist,Estelle and Zoom Fleisher Athletic Center,85,62,NJIT Highlanders,Houston Baptist,REG,Estelle and Zoom Fleisher Athletic Center,,,,,,,,,,,,
6422,2011-12-31 00:00:00,Weber State,Sacramento State Hornets,Dee Events Center,74,63,Weber State,Sacramento State Hornets,REG,Dee Events Center,,,,,,,,,,,,
7370,2011-12-03 00:00:00,Saint Louis Billikens,Portland,Chaifetz Arena,73,53,Saint Louis Billikens,Portland,REG,Chaifetz Arena,,,,,,,,,,,,
5893,2012-03-01 00:00:00,USC Trojans,Washington,Galen Center,58,80,Washington,USC Trojans,REG,Galen Center,,,,,,,,,,,,
7885,2012-02-04 00:00:00,Louisville Cardinals,Rutgers,KFC Yum! Center,78,66,Louisville Cardinals,Rutgers,REG,KFC Yum! Center,,,,,,,,,,,,
8677,2011-12-03 00:00:00,Virginia Cavaliers,Longwood,John Paul Jones Arena,86,53,Virginia Cavaliers,Longwood,REG,John Paul Jones Arena,,,,,,,,,,,,
6891,2012-02-09 00:00:00,South Dakota,South Dakota State Jackrabbits,DakotaDome,72,68,South Dakota,South Dakota State Jackrabbits,REG,DakotaDome,,,,,,,,,,,,
5281,2011-11-15 00:00:00,Brown Bears,Manhattan,Carrier Dome,52,54,Manhattan,Brown Bears,REG,Carrier Dome,,,,,,,,,,,,
5994,2011-12-22 00:00:00,Baylor (6),Saint Mary's (CA) Gaels,,72,59,Baylor (6),Saint Mary's (CA) Gaels,REG,,,,,,,,,,,,,
4909,2011-11-11 00:00:00,Louisville (9),UT-Martin Skyhawks,KFC Yum! Center,83,48,Louisville (9),UT-Martin Skyhawks,REG,KFC Yum! Center,,,,,,,,,,,,
6609,2012-01-26 00:00:00,Radford,Virginia Military Institute Keydets,Donald N. Dedmon Center,60,65,Virginia Military Institute Keydets,Radford,REG,Donald N. Dedmon Center,,,,,,,,,,,,
5006,2012-01-10 00:00:00,Notre Dame,South Florida Bulls,Purcell Pavilion at the Joyce Center,60,49,Notre Dame,South Florida Bulls,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
9113,2011-12-10 00:00:00,Brown Bears,Central Connecticut State,Pizzitola Sports Center,90,80,Brown Bears,Central Connecticut State,REG,Pizzitola Sports Center,,,,,,,,,,,,
5025,2011-12-29 00:00:00,St. Francis (NY),Brown Bears,Pope Physical Education Center,66,49,St. Francis (NY),Brown Bears,REG,Pope Physical Education Center,,,,,,,,,,,,
7813,2012-03-04 00:00:00,Hartford,Vermont Catamounts,Chase Arena at Reich Family Pavilion,73,77,Vermont Catamounts,Hartford,CTOURN,Chase Arena at Reich Family Pavilion,,,,,,,,,,,,
6709,2012-01-19 00:00:00,Washington Huskies,University of California,Bank of America Arena,66,69,University of California,Washington Huskies,REG,Bank of America Arena,,,,,,,,,,,,
6403,2012-02-25 00:00:00,Arizona,UCLA Bruins,McKale Center,65,63,Arizona,UCLA Bruins,REG,McKale Center,,,,,,,,,,,,
4892,2012-01-25 00:00:00,North Carolina-Wilmington Seahawks,Old Dominion,Trask Coliseum,48,53,Old Dominion,North Carolina-Wilmington Seahawks,REG,Trask Coliseum,,,,,,,,,,,,
6395,2012-02-22 00:00:00,North Carolina-Wilmington,VCU Rams,Trask Coliseum,59,63,VCU Rams,North Carolina-Wilmington,REG,Trask Coliseum,,,,,,,,,,,,
4303,2011-12-22 00:00:00,Presbyterian,Navy Midshipmen,Ross E.Templeton Center,58,42,Presbyterian,Navy Midshipmen,REG,Ross E.Templeton Center,,,,,,,,,,,,
5387,2012-01-12 00:00:00,Georgia Southern,Samford Bulldogs,Hanner Fieldhouse,58,53,Georgia Southern,Samford Bulldogs,REG,Hanner Fieldhouse,,,,,,,,,,,,
6416,2011-11-26 00:00:00,Iowa State,Rice Owls,,90,63,Iowa State,Rice Owls,REG,,,,,,,,,,,,,
9526,2012-02-25 00:00:00,Brown Bears,Columbia,Pizzitola Sports Center,94,78,Brown Bears,Columbia,REG,Pizzitola Sports Center,,,,,,,,,,,,
4368,2011-12-01 00:00:00,Wright State Raiders,Cleveland State,Ervin J. Nutter Center,43,45,Cleveland State,Wright State Raiders,REG,Ervin J. Nutter Center,,,,,,,,,,,,
6398,2012-02-11 00:00:00,Vanderbilt Commodores,Kentucky (1),Memorial Gymnasium,63,69,Kentucky (1),Vanderbilt Commodores,REG,Memorial Gymnasium,,,,,,,,,,,,
7075,2012-01-07 00:00:00,UTEP Miners,Houston,Don Haskins Center,70,50,UTEP Miners,Houston,REG,Don Haskins Center,,,,,,,,,,,,
7920,2012-02-13 00:00:00,Coppin State,Maryland-Eastern Shore Hawks,Physical Education Complex,81,78,Coppin State,Maryland-Eastern Shore Hawks,REG,Physical Education Complex,,,,,,,,,,,,
6296,2011-11-21 00:00:00,Oregon State Beavers,Vanderbilt (18),Izod Center,62,64,Vanderbilt (18),Oregon State Beavers,REG,Izod Center,,,,,,,,,,,,
6047,2011-11-27 00:00:00,Notre Dame,Bryant Bulldogs,Purcell Pavilion at the Joyce Center,84,59,Notre Dame,Bryant Bulldogs,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
5614,2011-12-18 00:00:00,Boston College,Bryant Bulldogs,Silvio O. Conte Forum,75,55,Boston College,Bryant Bulldogs,REG,Silvio O. Conte Forum,,,,,,,,,,,,
60135,2011-12-22 00:00:00,Arizona,Bryant Bulldogs,McKale Center,100,60,Arizona,Bryant Bulldogs,REG,McKale Center,,,,,,,,,,,,
7220,2012-02-28 00:00:00,Detroit Mercy,Loyola (IL) Ramblers,Calihan Hall,80,71,Detroit Mercy,Loyola (IL) Ramblers,CTOURN,Calihan Hall,,,,,,,,,,,,
6111,2012-01-12 00:00:00,New Mexico State,Utah State Aggies,Pan American Center,80,60,New Mexico State,Utah State Aggies,REG,Pan American Center,,,,,,,,,,,,
6927,2011-11-29 00:00:00,Loyola Marymount,Saint Louis Billikens,Albert Gersten Pavilion,75,68,Loyola Marymount,Saint Louis Billikens,REG,Albert Gersten Pavilion,,,,,,,,,,,,
7092,2012-03-09 00:00:00,Dayton,Xavier Musketeers,Boardwalk Hall,69,70,Xavier Musketeers,Dayton,CTOURN,Boardwalk Hall,,,,,,,,,,,,
6814,2012-01-30 00:00:00,Texas,Missouri Tigers,Frank Erwin Center,66,67,Missouri Tigers,Texas,REG,Frank Erwin Center,,,,,,,,,,,,
7787,2012-01-15 00:00:00,Drake Bulldogs,Illinois State,Knapp Center,77,60,Drake Bulldogs,Illinois State,REG,Knapp Center,,,,,,,,,,,,
4683,2012-02-11 00:00:00,Bryant Bulldogs,Sacred Heart,,46,72,Sacred Heart,Bryant Bulldogs,REG,,,,,,,,,,,,,
4109,2012-02-25 00:00:00,Alcorn State,Southern Jaguars,Davey L. Whitney Complex,60,40,Alcorn State,Southern Jaguars,REG,Davey L. Whitney Complex,,,,,,,,,,,,
6224,2012-01-26 00:00:00,Arizona,Washington State Cougars,McKale Center,85,61,Arizona,Washington State Cougars,REG,McKale Center,,,,,,,,,,,,
7430,2012-02-23 00:00:00,Monmouth,St. Francis (NY) Terriers,Multipurpose Activity Center,79,73,Monmouth,St. Francis (NY) Terriers,REG,Multipurpose Activity Center,,,,,,,,,,,,
6317,2012-01-28 00:00:00,Mississippi,South Carolina Gamecocks,C.M. Tad Smith Coliseum,66,62,Mississippi,South Carolina Gamecocks,REG,C.M. Tad Smith Coliseum,,,,,,,,,,,,
6913,2011-11-26 00:00:00,South Florida Bulls,Florida Atlantic,University of Tampa Sports Arena,68,55,South Florida Bulls,Florida Atlantic,REG,University of Tampa Sports Arena,,,,,,,,,,,,
7375,2011-12-03 00:00:00,Troy Trojans,Miami (OH),Trojan Arena,73,60,Troy Trojans,Miami (OH),REG,Trojan Arena,,,,,,,,,,,,
7514,2011-12-31 00:00:00,Indiana Hoosiers,Ohio State (2),Assembly Hall,74,70,Indiana Hoosiers,Ohio State (2),REG,Assembly Hall,,,,,,,,,,,,
8790,2012-02-04 00:00:00,North Carolina State Wolfpack,Wake Forest,RBC Center,87,76,North Carolina State Wolfpack,Wake Forest,REG,RBC Center,,,,,,,,,,,,
5491,2012-01-14 00:00:00,Texas A&M,Texas Tech Red Raiders,Reed Arena,67,54,Texas A&M,Texas Tech Red Raiders,REG,Reed Arena,,,,,,,,,,,,
5805,2012-02-25 00:00:00,Utah,Stanford Cardinal,Jon M. Huntsman Center,58,57,Utah,Stanford Cardinal,REG,Jon M. Huntsman Center,,,,,,,,,,,,
5295,2011-12-03 00:00:00,La Salle,Bucknell Bison,Tom Gola Arena,78,52,La Salle,Bucknell Bison,REG,Tom Gola Arena,,,,,,,,,,,,
7996,2011-11-17 00:00:00,Washington State Cougars,Sacramento State,Friel Court,79,68,Washington State Cougars,Sacramento State,REG,Friel Court,,,,,,,,,,,,
6212,2012-02-29 00:00:00,Northern Illinois,Toledo Rockets,Convocation Center,65,61,Northern Illinois,Toledo Rockets,REG,Convocation Center,,,,,,,,,,,,
6773,2012-02-09 00:00:00,Idaho State,Portland State Vikings,Holt Arena,54,67,Portland State Vikings,Idaho State,REG,Holt Arena,,,,,,,,,,,,
7579,2011-12-01 00:00:00,Wichita State Shockers,Cal State Fullerton,Charles Koch Arena,75,60,Wichita State Shockers,Cal State Fullerton,REG,Charles Koch Arena,,,,,,,,,,,,
7082,2012-02-16 00:00:00,Western Carolina Catamounts,Citadel,Ramsey Center,70,53,Western Carolina Catamounts,Citadel,REG,Ramsey Center,,,,,,,,,,,,
7998,2012-03-09 00:00:00,Indiana (15),Wisconsin Badgers,Conseco Fieldhouse,71,79,Wisconsin Badgers,Indiana (15),CTOURN,Conseco Fieldhouse,,,,,,,,,,,,
6892,2012-02-19 00:00:00,Miami (OH),Tennessee State Tigers,Millett Hall,61,68,Tennessee State Tigers,Miami (OH),REG,Millett Hall,,,,,,,,,,,,
7576,2011-11-19 00:00:00,Grambling,Oakland Golden Grizzlies,HPER Complex,45,75,Oakland Golden Grizzlies,Grambling,REG,HPER Complex,,,,,,,,,,,,
6690,2011-11-17 00:00:00,Georgia Tech,St. Joseph's Hawks,Carolina First Arena,53,66,St. Joseph's Hawks,Georgia Tech,REG,Carolina First Arena,,,,,,,,,,,,
8186,2011-12-03 00:00:00,Rice Owls,St. Thomas (TX),Tudor Fieldhouse,81,67,Rice Owls,St. Thomas (TX),REG,Tudor Fieldhouse,,,,,,,,,,,,
6673,2012-01-11 00:00:00,Towson,William & Mary Tribe,Towson Center,49,66,William & Mary Tribe,Towson,REG,Towson Center,,,,,,,,,,,,
9103,2012-02-11 00:00:00,Bucknell Bison,Lafayette,Sojka Pavilion,90,78,Bucknell Bison,Lafayette,REG,Sojka Pavilion,,,,,,,,,,,,
5294,2011-12-03 00:00:00,Yale,Vermont Catamounts,John J. Lee Ampitheater,68,52,Yale,Vermont Catamounts,REG,John J. Lee Ampitheater,,,,,,,,,,,,
5585,2012-01-14 00:00:00,Western Carolina Catamounts,Furman,Ramsey Center,55,58,Furman,Western Carolina Catamounts,REG,Ramsey Center,,,,,,,,,,,,
6494,2012-03-04 00:00:00,Wagner Seahawks,Robert Morris,Spiro Sports Center,64,71,Robert Morris,Wagner Seahawks,CTOURN,Spiro Sports Center,,,,,,,,,,,,
7969,2012-03-03 00:00:00,Bucknell Bison,Lafayette,Sojka Pavilion,79,52,Bucknell Bison,Lafayette,CTOURN,Sojka Pavilion,,,,,,,,,,,,
6581,2012-01-14 00:00:00,Western Illinois,Southern Utah Thunderbirds,Western Hall,55,65,Southern Utah Thunderbirds,Western Illinois,REG,Western Hall,,,,,,,,,,,,
6813,2012-02-18 00:00:00,Santa Clara Broncos,Brigham Young,Leavey Center,67,82,Brigham Young,Santa Clara Broncos,REG,Leavey Center,,,,,,,,,,,,
6887,2012-01-09 00:00:00,Stetson Hatters,North Florida,Edmunds Center,68,64,Stetson Hatters,North Florida,REG,Edmunds Center,,,,,,,,,,,,
5396,2012-02-11 00:00:00,Youngstown State,Valparaiso Crusaders,Beeghly Center,71,53,Youngstown State,Valparaiso Crusaders,REG,Beeghly Center,,,,,,,,,,,,
9493,2011-11-22 00:00:00,Buffalo Bulls,Canisius,Alumni Arena,94,59,Buffalo Bulls,Canisius,REG,Alumni Arena,,,,,,,,,,,,
8511,2011-11-19 00:00:00,Marist,Vermont Catamounts,Mohegan Sun Arena,75,84,Vermont Catamounts,Marist,REG,Mohegan Sun Arena,,,,,,,,,,,,
8297,2012-01-08 00:00:00,La Salle Explorers,Massachusetts,Tom Gola Arena,82,75,La Salle Explorers,Massachusetts,REG,Tom Gola Arena,,,,,,,,,,,,
8094,2012-01-15 00:00:00,Ohio State Buckeyes,Indiana (7),Value City Arena,80,63,Ohio State Buckeyes,Indiana (7),REG,Value City Arena,,,,,,,,,,,,
7928,2012-01-28 00:00:00,Villanova Wildcats,Marquette (17),Wells Fargo Center,78,82,Marquette (17),Villanova Wildcats,REG,Wells Fargo Center,,,,,,,,,,,,
8631,2011-12-28 00:00:00,Temple,Buffalo Bulls,Liacouras Center,87,85,Temple,Buffalo Bulls,REG,Liacouras Center,,,,,,,,,,,,
11175,2012-01-04 00:00:00,Buffalo Bulls,Buffalo State,Alumni Arena,111,59,Buffalo Bulls,Buffalo State,REG,Alumni Arena,,,,,,,,,,,,
6684,2012-01-07 00:00:00,Buffalo Bulls,Kent State,Alumni Arena,66,65,Buffalo Bulls,Kent State,REG,Alumni Arena,,,,,,,,,,,,
5289,2011-11-17 00:00:00,Denver,Southern Miss Golden Eagles,Magness Arena,59,52,Denver,Southern Miss Golden Eagles,REG,Magness Arena,,,,,,,,,,,,
6583,2011-11-19 00:00:00,Mount St. Mary's,Siena Saints,Knott Arena,53,65,Siena Saints,Mount St. Mary's,REG,Knott Arena,,,,,,,,,,,,
6680,2011-11-25 00:00:00,Bradley,Wisconsin Badgers,Sears Centre,43,66,Wisconsin Badgers,Bradley,REG,Sears Centre,,,,,,,,,,,,
5980,2011-12-01 00:00:00,Presbyterian,Winthrop Eagles,Ross E.Templeton Center,56,59,Winthrop Eagles,Presbyterian,REG,Ross E.Templeton Center,,,,,,,,,,,,
7228,2012-02-14 00:00:00,Kent State,Buffalo Bulls,Memorial Athletic & Convocation Center,76,71,Kent State,Buffalo Bulls,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
7822,2011-12-17 00:00:00,Toledo,Youngstown State Penguins,John F. Savage Hall,86,77,Toledo,Youngstown State Penguins,REG,John F. Savage Hall,,,,,,,,,,,,
7520,2012-02-25 00:00:00,Florida A&M,Hampton Pirates,Multipurpose Center and Teaching Gym,59,74,Hampton Pirates,Florida A&M,REG,Multipurpose Center and Teaching Gym,,,,,,,,,,,,
6879,2012-03-04 00:00:00,Arkansas-Little Rock,Western Kentucky Hilltoppers,Summit Arena,63,68,Western Kentucky Hilltoppers,Arkansas-Little Rock,CTOURN,Summit Arena,,,,,,,,,,,,
7724,2011-11-16 00:00:00,Pitt Panthers,Long Beach State,Petersen Events Center,76,86,Long Beach State,Pitt Panthers,REG,Petersen Events Center,,,,,,,,,,,,
5405,2012-01-04 00:00:00,VCU Rams,Georgia State,Alltel Pavilion at the Stuart C. Siegel Center,53,55,Georgia State,VCU Rams,REG,Alltel Pavilion at the Stuart C. Siegel Center,,,,,,,,,,,,
5780,2012-01-26 00:00:00,Southern Utah Thunderbirds,Missouri-Kansas City,Centrum,57,47,Southern Utah Thunderbirds,Missouri-Kansas City,REG,Centrum,,,,,,,,,,,,
6015,2012-02-28 00:00:00,Wyoming,Texas Christian Horned Frogs,Arena-Auditorium,71,59,Wyoming,Texas Christian Horned Frogs,REG,Arena-Auditorium,,,,,,,,,,,,
9899,2011-12-03 00:00:00,Northern Colorado Bears,Johnson & Wales (CO),Butler Hancock Sports Pavilion,98,66,Northern Colorado Bears,Johnson & Wales (CO),REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
7197,2011-12-16 00:00:00,Utah Utes,Idaho State,Jon M. Huntsman Center,71,59,Utah Utes,Idaho State,REG,Jon M. Huntsman Center,,,,,,,,,,,,
5581,2012-02-11 00:00:00,Pennsylvania,Dartmouth Big Green,The Palestra,58,55,Pennsylvania,Dartmouth Big Green,REG,The Palestra,,,,,,,,,,,,
5616,2011-12-20 00:00:00,Gonzaga,Butler Bulldogs,McCarthey Athletic Center,71,55,Gonzaga,Butler Bulldogs,REG,McCarthey Athletic Center,,,,,,,,,,,,
7203,2012-02-28 00:00:00,Wyoming Cowboys,Texas Christian,Arena-Auditorium,71,59,Wyoming Cowboys,Texas Christian,REG,Arena-Auditorium,,,,,,,,,,,,
5395,2011-11-19 00:00:00,Mount St. Mary's Mountaineers,Siena,Knott Arena,53,65,Siena,Mount St. Mary's Mountaineers,REG,Knott Arena,,,,,,,,,,,,
6596,2011-11-20 00:00:00,Liberty,William & Mary Tribe,Vines Center,64,65,William & Mary Tribe,Liberty,REG,Vines Center,,,,,,,,,,,,
7187,2011-12-06 00:00:00,Missouri (10),Villanova Wildcats,,81,71,Missouri (10),Villanova Wildcats,REG,,,,,,,,,,,,,
6402,2012-02-26 00:00:00,Ohio State (8),Wisconsin Badgers,Value City Arena,60,63,Wisconsin Badgers,Ohio State (8),REG,Value City Arena,,,,,,,,,,,,
4298,2012-01-26 00:00:00,Milwaukee,Butler Bulldogs,U.S. Cellular Arena,53,42,Milwaukee,Butler Bulldogs,REG,U.S. Cellular Arena,,,,,,,,,,,,
6472,2012-03-08 00:00:00,Alabama-Birmingham,UCF Knights,FedExForum,54,64,UCF Knights,Alabama-Birmingham,CTOURN,FedExForum,,,,,,,,,,,,
